,index,election_year,state_x,transaction_amt,totalspend_yr_st,spend_share,election_year_ds,party_simplified,candidatevotes,percentvote,writein_sum,totalvotes,writein_mean,won,region,battleground_bool,battleground_margin_avg_pct,shift_bool,shift_int,bellweather_bool,bellweather_pct,swing,democrat_lean_pct,percent_of_total_spend,spend_per_vote
461,461,2020,OH,478014.97,831865.35,57.46302211,11/1/20,DEMOCRAT,2679165,45.23933834,0,5922202,0,0,MIDWEST,TRUE,4.21,TRUE,3,TRUE,100,FALSE,57.14,22.35,17.84193844
462,462,2020,OH,236722.51,831865.35,28.45683018,11/1/20,OTHER,88203,1.489361558,6,5922202,0.75,0,MIDWEST,TRUE,4.21,TRUE,3,TRUE,100,FALSE,57.14,8.8,268.3837398
463,463,2020,OH,117127.87,831865.35,14.08014771,11/1/20,REPUBLICAN,3154834,53.2713001,0,5922202,0,1,MIDWEST,TRUE,4.21,TRUE,3,TRUE,100,FALSE,57.14,97.88,3.712647639
464,464,2020,OK,32948.83,417168.83,7.898200352,11/1/20,DEMOCRAT,503890,32.28617434,0,1560699,0,0,SOUTHWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,22.35,6.538893409
465,465,2020,OK,384220,417168.83,92.10179965,11/1/20,OTHER,36529,2.340553816,0,1560699,0,0,SOUTHWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,8.8,1051.82184
466,466,2020,OR,300566.51,307068.51,97.88255722,11/1/20,DEMOCRAT,1340383,56.45331865,0,2374321,0,1,PACIFIC COAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,22.35,22.42392734
467,467,2020,OR,6502,307068.51,2.117442782,11/1/20,REPUBLICAN,958448,40.36724605,0,2374321,0,0,PACIFIC COAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,97.88,0.678388395
468,468,2020,PA,2660763.61,2719622.58,97.83576698,11/1/20,DEMOCRAT,3458229,50.00849568,0,6915283,0,1,MIDATLANTIC,TRUE,5.9,TRUE,1,TRUE,71.43,FALSE,14.29,22.35,76.94006412
469,469,2020,PA,1547.97,2719622.58,0.05691856,11/1/20,OTHER,79380,1.147892284,0,6915283,0,0,MIDATLANTIC,TRUE,5.9,TRUE,1,TRUE,71.43,FALSE,14.29,8.8,1.950075598
470,470,2020,PA,57311,2719622.58,2.107314464,11/1/20,REPUBLICAN,3377674,48.84361204,0,6915283,0,0,MIDATLANTIC,TRUE,5.9,TRUE,1,TRUE,71.43,FALSE,14.29,97.88,1.696759367
471,471,2020,RI,2388015.74,2388015.74,100,11/1/20,DEMOCRAT,307486,59.47619877,0,516990,0,1,NORTHEAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,22.35,776.6258431
472,472,2020,SC,855259.6,1054440.98,81.1102391,11/1/20,DEMOCRAT,1091541,43.4168385,0,2514096,0,0,SOUTHEAST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,22.35,78.35341046
473,473,2020,SC,199181.38,1054440.98,18.8897609,11/1/20,REPUBLICAN,1385103,55.09348092,0,2514096,0,1,SOUTHEAST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,97.88,14.38025764
474,474,2020,SD,2171.75,2171.75,100,11/1/20,DEMOCRAT,150471,35.60525214,0,422609,0,0,MIDWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,22.35,1.443301367
475,475,2020,TN,152237.66,202193.13,75.29319122,11/1/20,DEMOCRAT,1143711,37.45143427,0,3053851,0,0,SOUTHEAST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,22.35,13.31085038
476,476,2020,TN,3220,202193.13,1.592536799,11/1/20,OTHER,57665,1.888271563,4,3053851,0.363636364,0,SOUTHEAST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,8.8,5.583976416
477,477,2020,TN,46735.47,202193.13,23.11427198,11/1/20,REPUBLICAN,1852475,60.66029417,0,3053851,0,1,SOUTHEAST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,97.88,2.522866435
